campaign_id,canonical,clf_confidence,date,doc_id,doc_subtype,doc_type,index_mode,language,pii_flags,source_path,title
211_LA,true,0.9,,211_LA-1c9d827bfbe0,work plan for strategy engagement,work_plan|strategy_memo,full,en,,data\raw\211 LA\211 LA_Work Plan_2025.docx,211 LA_Work Plan_2025.docx
211_LA,true,0.9,,211_LA-688020b62919,stories of impact,story_bank,summary_only,en,Contacts,data\raw\211 LA\Assets\211 LA_Story Bank_04.14.25.xlsx,211 LA_Story Bank_04.14.25.xlsx
211_LA,true,0.9,,211_LA-0c330b2ede48,211 LA fact sheet,fact_sheet,full,en,,data\raw\211 LA\Assets\211_Fact Sheet_January 2025.docx,211_Fact Sheet_January 2025.docx
211_LA,true,0.9,,211_LA-56e0055d08d6,proclamation language for 211 LA,proclamation_language,full,en,,data\raw\211 LA\Assets\211_Monday Proclamation Language_2.3.25.docx,211_Monday Proclamation Language_2.3.25.docx
211_LA,true,0.9,,211_LA-724e6f2db57a,proclamation language for 211 LA,proclamation_language,full,en,,data\raw\211 LA\Assets\211_Proclamation Langauge_2.3.25.docx,211_Proclamation Langauge_2.3.25.docx
211_LA,true,0.9,,211_LA-7eb638f26a7c,media coverage tracking,coverage_tracker,summary_only,en,Contacts,data\raw\211 LA\Earned Media\211 LA_Coverage Tracker.xlsx,211 LA_Coverage Tracker.xlsx
211_LA,true,0.9,,211_LA-932d48890d70,editorial calendar for planning content,editorial_calendar,summary_only,en,Contacts,data\raw\211 LA\Earned Media\211 LA_Editorial Calendar_Summer 2025.xlsx,211 LA_Editorial Calendar_Summer 2025.xlsx
211_LA,true,0.92,,211_LA-955947d584e8,media pitch for nonprofit support,pitch_email,full,en,,data\raw\211 LA\Earned Media\211 LA_Long-term support pitch.docx,211 LA_Long-term support pitch.docx
211_LA,true,0.9,,211_LA-43db87d14209,Wildfire Recovery Talking Points,talking_points,full,en,,data\raw\211 LA\Earned Media\211 LA_Maribel Talking Points_Wildfire Recovery.docx,211 LA_Maribel Talking Points_Wildfire Recovery.docx
211_LA,true,0.9,,211_LA-7b9489192a46,reporters and outlets contact list,media_list,summary_only,en,Contacts,data\raw\211 LA\Earned Media\211 LA_Media List_2025.xlsx,211 LA_Media List_2025.xlsx
211_LA,true,0.9,,211_LA-b40d7999f02c,questions for impact stories,interview_question_bank,full,en,,data\raw\211 LA\Earned Media\211 LA_Stories of Impact Structure Outline.docx,211 LA_Stories of Impact Structure Outline.docx
211_LA,true,0.9,,211_LA-03eea8f14980,media contact list,media_list,,en,,data\raw\211 LA\Earned Media\211_Media List_1.16.25.xlsx,211_Media List_1.16.25.xlsx
211_LA,true,0.8,,211_LA-340b334dbea1,media analysis deck,deck|analysis_report,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Media Analysis Deck.pptx,211 LA_Media Analysis Deck.pptx
211_LA,true,0.9,,211_LA-15af8e67b216,media analysis plan,work_plan|strategy_memo,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Media Analysis Plan.docx,211 LA_Media Analysis Plan.docx
211_LA,true,0.9,,211_LA-2c5c9f7ca7ef,general questions for stakeholder interviews,interview_guide,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview General Questions.docx,211 LA_Stakeholder Interview General Questions.docx
211_LA,true,0.9,,211_LA-55bcef7d1de5,stakeholder interview guide,interview_guide,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview Guide_Amy Castro.docx,211 LA_Stakeholder Interview Guide_Amy Castro.docx
211_LA,true,0.9,,211_LA-8e6f849aca61,stakeholder interview guide,interview_guide,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview Guide_Kate Hennigan Ohanesian.docx,211 LA_Stakeholder Interview Guide_Kate Hennigan Ohanesian.docx
211_LA,true,0.9,,211_LA-0c2b08fb2d15,stakeholder interview guide,interview_guide,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview Guide_Linda Wah.docx,211 LA_Stakeholder Interview Guide_Linda Wah.docx
211_LA,true,0.9,,211_LA-e270ed4fc342,stakeholder interview scheduling email,interview_guide,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview Outreach Email.docx,211 LA_Stakeholder Interview Outreach Email.docx
211_LA,true,0.9,,211_LA-350ffb6ba5e6,stakeholder interview questions,interview_guide,,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview_Danny.docx,211 LA_Stakeholder Interview_Danny.docx
211_LA,true,0.9,,211_LA-ede7b5f39b81,stakeholder interview questions,interview_guide,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview_Doug.docx,211 LA_Stakeholder Interview_Doug.docx
211_LA,true,0.9,,211_LA-e4a4ec74ef86,stakeholder interview questions,interview_guide,full,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview_Gil Zavala.docx,211 LA_Stakeholder Interview_Gil Zavala.docx
211_LA,true,0.9,,211_LA-c44882a43a61,stakeholder interview questions,interview_guide,,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview_Maribel.docx,211 LA_Stakeholder Interview_Maribel.docx
211_LA,true,0.9,,211_LA-d47b361e4ac0,stakeholder interview questions,interview_guide,,en,,data\raw\211 LA\Insights and Analysis\211 LA_Stakeholder Interview_Michelle Gonzalez.docx,211 LA_Stakeholder Interview_Michelle Gonzalez.docx
211_LA,true,0.8,,211_LA-aa058b783c3b,overview blurb,partnership_blurb,full,en,,data\raw\211 LA\Messaging\211 LA + Airbnb Overview Blurb.docx,211 LA + Airbnb Overview Blurb.docx
211_LA,true,0.9,,211_LA-598e5dce9858,overview of 211 LA services,messaging_one_pager,full,en,,data\raw\211 LA\Messaging\211 LA_Messaging One-Pager_2025.docx,211 LA_Messaging One-Pager_2025.docx
211_LA,true,0.9,,211_LA-f0e26a80705d,211 LA Wildfire Webpage,platform_copy_edits,full,en,,data\raw\211 LA\Messaging\211 LA_Updated 211 LA Wildfire Webpage.docx,211 LA_Updated 211 LA Wildfire Webpage.docx
